iter	Passed	Remaining
901	70085	7614
902	70185	7539
903	70270	7462
904	70355	7385
905	70439	7308
906	70529	7231
907	70608	7154
908	70690	7076
909	70774	6999
910	70862	6922
911	70940	6845
912	71022	6767
913	71099	6689
914	71167	6611
915	71235	6532
916	71298	6453
917	71362	6374
918	71434	6296
919	71508	6218
920	71591	6140
921	71673	6063
922	71742	5985
923	71807	5906
924	71883	5828
925	71985	5752
926	72097	5677
927	72225	5603
928	72327	5527
929	72405	5449
930	72482	5371
931	72551	5293
932	72617	5214
933	72684	5136
934	72759	5058
935	72870	4982
936	73009	4908
937	73097	4831
938	73174	4753
939	73247	4675
940	73308	4596
941	73370	4517
942	73429	4438
943	73523	4361
944	73614	4284
945	73742	4209
946	73845	4132
947	73907	4054
948	73972	3975
949	74036	3896
950	74096	3817
951	74153	3738
952	74218	3660
953	74279	3581
954	74345	3503
955	74405	3424
956	74467	3345
957	74529	3267
958	74594	3189
959	74656	3110
960	74733	3032
961	74815	2955
962	74898	2877
963	74979	2800
964	75059	2722
965	75121	2644
966	75186	2565
967	75248	2487
968	75309	2409
969	75370	2331
970	75438	2253
971	75507	2175
972	75574	2097
973	75642	2019
974	75761	1942
975	75862	1865
976	75954	1788
977	76039	1710
978	76110	1632
979	76189	1554
980	76257	1476
981	76339	1399
982	76427	1321
983	76508	1244
984	76582	1166
985	76652	1088
986	76731	1010
987	76807	932
988	76867	854
989	76926	777
990	76985	699
991	77047	621
992	77113	543
993	77179	465
994	77241	388
995	77308	310
996	77375	232
997	77438	155
998	77505	77
999	77567	0
